"f","e","d","tau_q","tau_s","v_s","u0"
1.2326202,0.9919593,483.1274,4.990146,928.1832,0.8418907,1.60003664335762
0.9757614,1.0030982,308.8972,4.942811,779.0231,0.8888715,1.48485433321831
1.0142159,1.0095092,206.6206,7.484514,776.4343,0.9381672,1.50319580922453
0.9984323,1.0076255,309.8228,8.994707,922.54,0.9303505,1.55495546071296
1.2802845,1.00399,295.0597,7.59421,402.9642,0.7474349,1.47797673604526
1.0042522,0.9968523,438.189,9.23207,302.7022,0.7646495,1.46472196533031
1.3984003,1.0066177,227.1297,3.399255,948.5975,0.934829,1.58438121215582
0.6278527,0.9973725,448.6001,3.999953,717.1939,0.7941815,1.21315845021383
1.1446721,1.0083067,281.0305,6.872254,693.0149,0.9679652,1.58713646046007
1.0695311,1.0012537,462.1403,5.735021,777.9289,0.9063904,1.5898620933676
0.9353166,0.9944905,282.9683,7.895879,252.1594,0.9188958,1.42858096864396
1.4523265,0.9994123,455.6117,3.764237,629.6529,0.9707208,1.68143359931556
1.1543575,0.9918254,274.2717,4.516494,772.8965,0.8766118,1.50203074960798
0.5238357,1.0039737,373.7225,4.121664,413.7337,0.7626978,1.07784664431801
0.9681229,0.9929007,420.8358,5.322607,613.0158,0.9105037,1.53100147718295
1.3573432,1.0019626,513.4815,9.255043,494.2253,0.7858464,1.63239464759221
0.8650603,0.9952824,367.3961,7.544236,581.5254,0.7274233,1.33285131189296
0.865575,0.9955183,339.0994,6.961074,862.5286,0.7398373,1.34116523615134
1.2587076,0.9986452,341.1744,7.916202,688.803,0.7193483,1.50325759597528
0.6075794,0.9963093,536.1708,7.355051,432.3683,0.987925,1.42017837851018
0.8461645,0.9990625,291.4648,8.734282,756.7281,0.852597,1.41339715957225
1.3146553,0.9910044,216.9768,5.063274,426.6,0.8269668,1.43704935076021
0.539625,0.9906079,226.9748,8.68948,677.7877,0.8671237,1.28025497559163
1.2153169,0.9983754,536.0084,6.637661,789.9284,0.8715081,1.62826878272662
0.8368908,1.0022478,265.3432,6.358983,483.142,0.7043107,1.21072925341714
1.4184023,0.9980164,467.1648,4.540303,698.2063,0.9695328,1.68076385176949
1.2778373,1.0087888,375.6857,9.566495,755.3744,0.9385558,1.6386193797812
0.699156,1.0024461,269.8456,5.505912,831.3937,0.9944166,1.48758781206692
1.3568248,0.9957213,203.6325,4.151488,849.1367,0.969975,1.58864208136268
0.759613,0.992744,478.6456,8.430492,384.8866,0.7025127,1.27075403211986
0.9232068,0.9942036,353.9305,7.878301,592.872,0.9423087,1.52269466620508
0.6435893,1.0096568,373.6147,9.49135,228.783,0.8436091,1.24915378349812
0.9792058,0.9997789,485.9285,4.726821,679.1974,0.9366596,1.5774524016319
1.045585,1.0088423,433.7236,7.531882,545.1171,0.8905688,1.56193557043603
1.1619061,1.0046452,463.6434,5.549082,660.2318,0.8512448,1.58163078000955
0.6140414,1.0091568,361.3971,3.657596,923.478,0.9138711,1.36101333371403
0.594643,0.9932952,358.5597,3.150843,445.9681,0.9004216,1.2701460863417
0.6767012,0.9933288,315.8517,8.883362,222.3157,0.8158158,1.21680164945787
1.4924301,1.00462,211.8972,6.953634,482.9554,0.9081828,1.55556390729664
1.4053125,0.9924053,439.5976,6.223542,361.0998,0.9546212,1.65685635929331
0.9033944,0.9947993,391.7586,3.022918,651.4694,0.7318887,1.3058152895822
1.4304666,1.0047661,317.5007,5.776259,967.913,0.9639857,1.65765952092023
1.2684602,1.0002424,540.8984,5.199548,874.9363,0.8081596,1.61523252471085
1.3146845,0.9955681,436.2753,7.761003,204.8624,0.910279,1.61349169675497
1.4978331,1.0047805,543.6822,3.510776,210.8078,0.8749176,1.66995132407346
1.3132457,0.9962625,425.8742,6.254941,961.302,0.7642313,1.57562025792605
1.249057,0.9908634,305.7301,6.455028,284.4554,0.9531354,1.5683461324351
0.6310752,1.0003359,375.5667,9.464572,631.4608,0.7253766,1.20373313429131
0.953886,0.9977546,327.2808,9.556462,244.0864,0.7843398,1.38170091554426
1.0407913,1.0011214,459.6097,9.402483,785.2556,0.7231798,1.50173430413453
0.596569,0.9906232,231.5912,7.888993,949.3608,0.9536176,1.41342308007192
1.2360025,1.0015166,212.6109,4.531977,707.3678,0.7070461,1.33007136955556
0.6793617,1.0058199,434.1251,5.580339,497.7155,0.8811979,1.34117436219118
0.631598,1.0017835,287.8037,7.220554,346.2076,0.9261787,1.32017907620429
1.0202241,1.0014053,233.743,8.098863,968.0636,0.7763948,1.39549762468325
0.858449,1.0092493,266.9963,8.00462,257.5418,0.7127305,1.23018604578867
0.8519234,1.0039427,270.7651,5.036969,327.2202,0.8789636,1.35097305775766
1.0901388,0.9981374,373.4655,7.426664,500.6881,0.8008823,1.49359563977829
1.2650449,0.9902134,505.0844,4.180667,730.6342,0.9255618,1.64264093933949
1.1007783,0.9903452,243.8162,6.004726,642.7073,0.9167011,1.5028344685291
0.6525029,1.0028486,484.479,5.018192,225.2905,0.9815701,1.37602026623918
1.2420402,1.0095006,308.6746,3.414972,742.1091,0.8921515,1.55629627032571
1.4656106,1.0060802,492.7224,6.47601,867.6115,0.7238446,1.63421614648731
0.7174118,1.0060541,297.9652,4.160899,674.027,0.9267155,1.39342642314192
0.601968,1.000413,521.4558,7.889512,809.4463,0.7258194,1.21142151782892
1.2678079,1.0017934,341.8807,4.352519,728.0503,0.8397971,1.54751707934528
1.2220076,1.009209,332.7889,3.957501,864.9629,0.79951,1.50890342788805
0.8327553,0.9946503,458.7688,6.936778,263.9539,0.9363707,1.45794739683008
0.7629577,1.0050499,258.0946,6.175934,573.5736,0.7575957,1.22115114509062
