"Index","P","Q","E"
1964-01-03,0,0.336760135135135,-79.2
1964-01-04,0,0.328377027027027,-79.2
1964-01-05,0,0.312972297297297,-79.2
1964-01-06,0,0.300694594594595,-79.2
1964-01-07,0,0.283270945945946,-79.2
1964-01-08,0,0.290901351351351,-79.2
1964-01-09,12.62,0.437484459459459,-79.2
1964-01-10,0.02,0.324012162162162,-79.2
1964-01-11,0,0.298442567567568,-79.2
1964-01-12,0,0.2954,-79.2
1964-01-13,0.01,0.294082432432432,-79.2
1964-01-14,0.71,0.300240540540541,-79.2
1964-01-15,0,0.276232432432432,-79.2
1964-01-16,0.03,0.272733783783784,-79.2
1964-01-17,0,0.255439189189189,-79.2
1964-01-18,0,0.238931081081081,-79.2
1964-01-19,0,0.23195,-79.2
1964-01-20,0,0.228541216216216,-79.2
1964-01-21,1.46,0.221962162162162,-79.2
1964-01-22,0,0.213218243243243,-79.2
1964-01-23,0,0.207462162162162,-79.2
1964-01-24,0,0.208295945945946,-79.2
1964-01-25,0.33,0.224076351351351,-79.2
1964-01-26,0.05,0.226358783783784,-79.2
1964-01-27,0,0.208834459459459,-79.2
1964-01-28,5.45,0.204041216216216,-79.2
1964-01-29,0,0.202343243243243,-79.2
1964-01-30,0.14,0.220093918918919,-79.2
1964-01-31,1.62,0.204377027027027,-79.2
1964-02-01,0,0.193106756756757,-79.2
1964-02-02,4.71,0.412304054054054,-79.2
1964-02-03,25.83,1.09227702702703,-79.2
1964-02-04,0.03,0.395383108108108,-79.2
1964-02-05,8.2,0.286456081081081,-79.2
1964-02-06,0,0.26157027027027,-79.2
1964-02-07,0,0.250643918918919,-79.2
1964-02-08,0.43,0.263135135135135,-79.2
1964-02-09,2.94,0.262370945945946,-79.2
1964-02-10,0.16,0.239926351351351,-79.2
1964-02-11,0.02,0.225175675675676,-79.2
1964-02-12,0.02,0.217148648648649,-79.2
1964-02-13,0.02,0.20814527027027,-79.2
1964-02-14,0,0.19515472972973,-79.2
1964-02-15,0,0.184859459459459,-79.2
1964-02-16,0,0.182052702702703,-79.2
1964-02-17,0,0.178083783783784,-79.2
1964-02-18,0,0.179558783783784,-79.2
1964-02-19,0,0.193395945945946,-79.2
1964-02-20,0,0.255810810810811,-79.2
1964-02-21,0,0.198294594594595,-79.2
1964-02-22,0,0.184066216216216,-79.2
1964-02-23,0,0.174677027027027,-79.2
1964-02-24,8.56,0.174243243243243,-79.2
1964-02-25,0,0.186250675675676,-79.2
1964-02-26,0,0.18440472972973,-79.2
1964-02-27,0,0.18100472972973,-79.2
1964-02-28,0,0.171363513513514,-79.2
1964-02-29,15.54,0.182588513513514,-79.2
1964-03-01,0,0.253368243243243,-79.2
1964-03-02,0,0.226314864864865,-79.2
1964-03-03,0,0.197514189189189,-79.2
1964-03-04,0,0.18634527027027,-79.2
1964-03-05,0,0.18225472972973,-79.2
1964-03-06,0,0.242574324324324,-79.2
1964-03-07,55.11,1.44900675675676,-79.2
1964-03-08,0.03,0.400201351351351,-79.2
1964-03-09,0,0.303893243243243,-79.2
1964-03-10,0,0.258410135135135,-79.2
1964-03-11,0,0.237940540540541,-79.2
1964-03-12,0.03,0.21955,-79.2
1964-03-13,0,0.204587837837838,-79.2
1964-03-14,0,0.200490540540541,-79.2
1964-03-15,0.01,0.205024324324324,-79.2
1964-03-16,0.03,0.205284459459459,-79.2
1964-03-17,0,0.193908783783784,-79.2
1964-03-18,0,0.180871621621622,-79.2
1964-03-19,0,0.172706756756757,-79.2
1964-03-20,0,0.168548648648649,-79.2
1964-03-21,0.02,0.169181081081081,-79.2
1964-03-22,0.03,0.175706081081081,-79.2
1964-03-23,0,0.164263513513514,-79.2
1964-03-24,0,0.158060810810811,-79.2
1964-03-25,0,0.163412162162162,-79.2
1964-03-26,0,0.164781756756757,-79.2
1964-03-27,0,0.163391216216216,-79.2
1964-03-28,0,0.160619594594595,-79.2
1964-03-29,0,0.158685810810811,-79.2
1964-03-30,0,0.154132432432432,-79.2
1964-03-31,3.87,0.173905405405405,-79.2
1964-04-01,0.03,0.170952027027027,-79.2
1964-04-02,0.01,0.15900472972973,-79.2
1964-04-03,0,0.154183108108108,-79.2
