"","P","Q","E"
"1980-01-01",2.3261,0.637962962962963,4.9742
"1980-01-02",0,0.607685185185185,5.9267
"1980-01-03",6.4192,0.854814814814815,4.7702
"1980-01-04",7.6277,0.968611111111111,5.071
"1980-01-05",0.336,0.795555555555556,5.5278
"1980-01-06",0,0.672222222222222,5.5146
"1980-01-07",0,0.635,5.2272
"1980-01-08",0,0.600740740740741,5.6459
"1980-01-09",0,0.569722222222222,5.1527
"1980-01-10",0.6221,0.57,5.1353
"1980-01-11",0,0.565185185185185,3.6248
"1980-01-12",4.3901,0.641481481481481,3.396
"1980-01-13",19.7026,1.33416666666667,3.3554
"1980-01-14",2.379,1.35833333333333,6.0122
"1980-01-15",0.4615,0.754166666666667,3.6157
"1980-01-16",0.6384,0.7675,5.4115
"1980-01-17",0.0025,0.646944444444444,5.5506
"1980-01-18",3.2012,0.631018518518519,3.6419
"1980-01-19",0.2735,0.662407407407407,3.9318
"1980-01-20",0.7088,0.616203703703704,3.8159
"1980-01-21",0.4831,0.6275,4.1297
"1980-01-22",0.285,0.593796296296296,5.0946
"1980-01-23",0.4052,0.546851851851852,5.281
"1980-01-24",0,0.533425925925926,5.1202
"1980-01-25",2.4005,0.545185185185185,4.2609
"1980-01-26",0.1274,0.573796296296296,4.5449
"1980-01-27",0.0784,0.521481481481481,5.3482
"1980-01-28",0,0.494259259259259,4.5749
"1980-01-29",0,0.479166666666667,5.1624
"1980-01-30",0,0.471018518518518,5.6614
"1980-01-31",0,0.463055555555555,5.0198
"1980-02-01",0.1375,0.455092592592593,5.2463
"1980-02-02",2.1224,0.465555555555556,4.6443
"1980-02-03",0,0.456296296296296,5.0026
"1980-02-04",0,0.44787037037037,4.8127
"1980-02-05",0,0.446388888888889,5.5467
"1980-02-06",1.1826,0.450648148148148,4.0857
"1980-02-07",0.0061,0.494537037037037,4.9938
"1980-02-08",0.64,0.459074074074074,4.2686
"1980-02-09",1.5708,0.532962962962963,4.1759
"1980-02-10",0.3651,0.522407407407407,5.1262
"1980-02-11",0,0.469166666666667,5.7881
"1980-02-12",0,0.4475,4.7979
"1980-02-13",0,0.428981481481481,5.9086
"1980-02-14",0,0.409444444444444,6.0227
"1980-02-15",0,0.394444444444444,6.0559
"1980-02-16",0,0.393703703703704,5.4341
"1980-02-17",0,0.395555555555556,4.5592
"1980-02-18",0,0.390555555555556,5.4275
"1980-02-19",0,0.38712962962963,5.6731
"1980-02-20",0,0.376851851851852,5.0558
"1980-02-21",0.7124,0.376574074074074,5.0081
"1980-02-22",5.173,0.459722222222222,4.2851
"1980-02-23",0.2603,0.498425925925926,4.6072
"1980-02-24",0.3874,0.433425925925926,3.5944
"1980-02-25",3.0996,0.519722222222222,4.3171
"1980-02-26",0.0068,0.438796296296296,3.8245
"1980-02-27",0.0296,0.408055555555556,4.2391
"1980-02-28",0,0.395092592592593,4.3794
"1980-02-29",1.2458,0.385833333333333,4.5845
"1980-03-01",0,0.3925,4.8637
"1980-03-02",0,0.381481481481481,4.2317
"1980-03-03",0.0112,0.375092592592593,4.0035
"1980-03-04",0,0.368611111111111,4.0713
"1980-03-05",0,0.365092592592593,4.5455
"1980-03-06",0,0.367314814814815,4.4516
"1980-03-07",0,0.359537037037037,4.1187
"1980-03-08",24.4887,0.468611111111111,2.2975
"1980-03-09",1.8682,0.644351851851852,3.4513
"1980-03-10",0,0.436111111111111,3.6148
"1980-03-11",0.2401,0.391481481481481,3.9304
"1980-03-12",0.0048,0.381296296296296,4.1139
"1980-03-13",0.31,0.376944444444444,3.4575
"1980-03-14",5.4934,0.453148148148148,2.9835
"1980-03-15",0.314,0.447222222222222,3.1891
"1980-03-16",0.264,0.421481481481482,3.6717
"1980-03-17",0.013,0.403148148148148,3.868
"1980-03-18",0,0.384259259259259,4.2448
"1980-03-19",0,0.370925925925926,3.9597
"1980-03-20",0,0.369166666666667,3.9798
"1980-03-21",0,0.36037037037037,3.6446
"1980-03-22",0,0.356666666666667,3.5073
"1980-03-23",0,0.35537037037037,3.2163
"1980-03-24",0,0.360277777777778,3.2602
"1980-03-25",0,0.364907407407407,3.6711
"1980-03-26",0.1489,0.361944444444444,2.5693
