"Index","P","Q","E"
1967-01-01,1.09,0.414329591836735,5.52
1967-01-02,0.83,0.380478979591837,6.08
1967-01-03,1.35,0.29445306122449,7.28
1967-01-04,0.17,0.245563265306122,4.24
1967-01-05,1.16,0.231309795918367,4.24
1967-01-06,0.03,0.239960612244898,4.08
1967-01-07,0.04,0.233544285714286,5.68
1967-01-08,0.18,0.20254593877551,7.52
1967-01-09,0.04,0.186777346938776,7.92
1967-01-10,0.05,0.178436591836735,8.32
1967-01-11,0.07,0.163742469387755,6.88
1967-01-12,0.01,0.157288693877551,5.52
1967-01-13,0.02,0.15159006122449,10.56
1967-01-14,0.03,0.149714428571429,6.08
1967-01-15,1.45,0.142106510204082,8.16
1967-01-16,3.6,0.135971734693878,9.12
1967-01-17,0.35,0.129040551020408,5.92
1967-01-18,0.12,0.143505448979592,6.08
1967-01-19,0.01,0.148289591836735,6.08
1967-01-20,0,0.137713204081633,4.48
1967-01-21,0.01,0.130134653061224,7.28
1967-01-22,0.03,0.126171918367347,15.84
1967-01-23,2.55,0.115519224489796,12.16
1967-01-24,6.65,0.103421755102041,8.32
1967-01-25,6.26,0.106851632653061,4.48
1967-01-26,13.87,0.140792897959184,2.64
1967-01-27,0.12,0.22322387755102,1.2
1967-01-28,3.32,0.344733469387755,2.4
1967-01-29,22.25,0.232124489795918,6.48
1967-01-30,11.48,0.468226326530612,2.88
1967-01-31,0.01,1.13982571428571,6.48
1967-02-01,0.01,0.578722448979592,7.28
1967-02-02,0.03,0.266007346938776,6.08
1967-02-03,0.04,0.188490571428571,5.92
1967-02-04,0,0.149489081632653,6.08
1967-02-05,0,0.13876306122449,7.28
1967-02-06,0,0.129743653061225,6.88
1967-02-07,0.03,0.12022687755102,6.72
1967-02-08,5.3,0.110571408163265,6.88
1967-02-09,7.15,0.110468,7.12
1967-02-10,0.31,0.250097142857143,6.08
1967-02-11,0.01,0.179762795918367,6.88
1967-02-12,0,0.145164755102041,5.52
1967-02-13,0.12,0.127837224489796,6.08
1967-02-14,0.79,0.109361346938776,4.24
1967-02-15,1.04,0.105371489795918,6.72
1967-02-16,0.06,0.107222591836735,6.88
1967-02-17,0.09,0.106536591836735,6.08
1967-02-18,0.01,0.101865387755102,2.88
1967-02-19,0,0.0989738367346939,5.28
1967-02-20,0,0.0989895714285714,4.88
1967-02-21,0.5,0.0981835510204082,6.32
1967-02-22,0,0.0952374081632653,6.08
1967-02-23,0.97,0.0909301836734694,6.08
1967-02-24,1.22,0.0880175510204082,2.4
1967-02-25,0.2,0.0956242448979592,6.88
1967-02-26,0.17,0.0994817551020408,6.08
1967-02-27,0.03,0.0918665714285714,3.68
1967-02-28,4.38,0.0880916734693878,5.68
1967-03-01,0.24,0.0871819591836735,4.48
1967-03-02,0.01,0.0911556326530612,5.12
1967-03-03,8.04,0.0942157755102041,2
1967-03-04,3.1,0.118715224489796,6.08
1967-03-05,0.22,0.193372285714286,6.08
1967-03-06,1.65,0.127981530612245,4.48
1967-03-07,0.23,0.101961632653061,2.24
1967-03-08,0.02,0.094989918367347,3.28
1967-03-09,0.87,0.0995759387755102,1.84
1967-03-10,0.01,0.101988673469388,6.08
1967-03-11,0.05,0.0971191428571429,6.08
1967-03-12,0.03,0.0894492857142857,6.88
1967-03-13,0.01,0.0836891836734694,5.52
1967-03-14,0.01,0.0787401428571429,5.28
1967-03-15,0.13,0.0765294897959184,4.64
1967-03-16,0.17,0.0756924285714286,5.12
1967-03-17,0.02,0.076563,5.28
1967-03-18,0,0.0766892040816327,3.84
1967-03-19,0.19,0.074914693877551,6.08
1967-03-20,0.51,0.0745127551020408,3.84
1967-03-21,0.21,0.0741417755102041,4.08
1967-03-22,0,0.0793349591836735,6.08
1967-03-23,0,0.0764498367346939,8.56
1967-03-24,0.02,0.0696968367346939,5.68
1967-03-25,0,0.0658717346938776,5.68
1967-03-26,0.66,0.0658717346938776,4.64
1967-03-27,0.2,0.0658717346938776,3.68
1967-03-28,0.2,0.0675515306122449,4.24
1967-03-29,1.78,0.0680742448979592,4.24
1967-03-30,0.1,0.0690499387755102,4.48
1967-03-31,0.04,0.0917725918367347,4.48
1967-04-01,0.03,0.0752270816326531,3.04
1967-04-02,0.41,0.071243693877551,3.04
1967-04-03,0.02,0.0688506530612245,4.88
1967-04-04,0,0.0753468979591837,2.24
1967-04-05,0,0.0734954693877551,3.28
1967-04-06,6.25,0.0862885714285714,3.68
1967-04-07,0,0.0989911020408163,3.04
1967-04-08,0,0.0852365306122449,3.84
1967-04-09,1.01,0.0797464897959184,3.04
1967-04-10,0.01,0.0764254489795918,4.24
1967-04-11,0.06,0.0682217959183674,1.44
1967-04-12,0.01,0.0666230816326531,3.04
1967-04-13,0,0.0666269387755102,3.04
1967-04-14,0.03,0.0666307959183674,3.04
1967-04-15,0.07,0.0666346734693878,3.04
1967-04-16,0.98,0.0666385306122449,1.6
1967-04-17,0,0.066642387755102,4.08
1967-04-18,0,0.0665187551020408,3.68
1967-04-19,0,0.0655625102040816,3.04
1967-04-20,0,0.0601430408163265,3.28
1967-04-21,0,0.0602301836734694,4.64
1967-04-22,0,0.0603666530612245,4.48
1967-04-23,0.06,0.0603813265306122,4.64
1967-04-24,0.02,0.0600612040816327,1.6
1967-04-25,0.01,0.0586532653061225,5.12
1967-04-26,0,0.0586180816326531,5.68
1967-04-27,0,0.0586371632653061,3.44
1967-04-28,0,0.0584669387755102,3.04
1967-04-29,0,0.0568634081632653,2
1967-04-30,0,0.0565140816326531,4.64
1967-05-01,0.06,0.0570561632653061,2.24
1967-05-02,0.01,0.0569378775510204,3.04
1967-05-03,0,0.0581874489795918,3.04
1967-05-04,0,0.0588674285714286,4.08
1967-05-05,0.22,0.0587798775510204,3.04
1967-05-06,0,0.0588009591836735,2.24
1967-05-07,0.03,0.0595906530612245,2.64
1967-05-08,0,0.0600839183673469,1.6
1967-05-09,0.01,0.0594749591836735,1.44
1967-05-10,0.01,0.0593537142857143,2
1967-05-11,0.05,0.058904306122449,2.64
1967-05-12,0,0.0589240408163265,2.4
1967-05-13,0,0.0589437959183673,2.24
1967-05-14,0.02,0.0578951224489796,2
1967-05-15,0,0.0565825510204082,3.04
1967-05-16,0,0.0566037346938776,1.6
1967-05-17,0,0.0566249387755102,1.84
1967-05-18,0,0.0566461224489796,0.64
1967-05-19,1.9,0.0566673265306123,2
1967-05-20,6.69,0.0576287346938776,1.6
1967-05-21,10.15,0.0808138367346939,0.8
1967-05-22,4.44,0.167363897959184,2
