"Index","P","Q","E"
2000-04-10,0,0.0891094313253516,3.36
2000-04-11,0.14,0.0771157632229287,1.92
2000-04-12,0,0.0660844013226613,2.24
2000-04-13,0,0.0569339259516799,3.04
2000-04-14,1.63,0.060286373185028,1.6
2000-04-15,8.2,0.119187355723901,1.28
2000-04-16,0.08,0.101787561416141,2.88
2000-04-17,9.02,0.180587309702655,2.08
2000-04-18,0.05,0.152617341507357,2.56
2000-04-19,0.16,0.130615298407501,2.56
2000-04-20,0.23,0.113040223609841,1.76
2000-04-21,0.17,0.0977811777422569,1.92
2000-04-22,0.07,0.0840704312533756,3.68
2000-04-23,0.16,0.0734864671736077,2.72
2000-04-24,0.03,0.0634856345928194,1.76
2000-04-25,0,0.054925935189416,3.52
2000-04-26,0.04,0.0481359341105468,2.56
2000-04-27,0,0.0421908570033691,0.48
2000-04-28,0,0.0372573885876447,1.12
2000-04-29,0.14,0.0341472020888995,1.76
2000-04-30,0.05,0.0309177486035303,2.08
2000-05-01,2.21,0.0428436025941594,3.2
2000-05-02,0.05,0.0381281871786228,1.44
2000-05-03,0.35,0.0361186550334158,0.96
2000-05-04,20.67,0.237406633628203,2.08
2000-05-05,7.91,0.313059725458978,2.72
2000-05-06,9.75,0.424752799220878,3.2
2000-05-07,0,0.354956561634893,2.56
2000-05-08,0.02,0.297418456934358,1.12
2000-05-09,0,0.249368552561362,1.6
2000-05-10,0,0.209523312153783,1.76
2000-05-11,0.02,0.176798352043732,1.44
2000-05-12,0.05,0.150120425218411,1.6
2000-05-13,0.14,0.129350478651548,1.76
2000-05-14,18.52,0.440873707022963,1.12
2000-05-15,1.86,0.40739432740646,1.76
2000-05-16,0,0.340920257917315,1.44
2000-05-17,0.05,0.286816808735463,1.92
2000-05-18,0,0.240934051458429,0.8
2000-05-19,0.07,0.204267552857255,1.12
2000-05-20,0.16,0.175602601389358,1.76
2000-05-21,0,0.148709483390554,1.12
2000-05-22,0.02,0.126782992255518,1.76
2000-05-23,0,0.108220170237884,0.48
2000-05-24,0.14,0.0953945311819094,0.96
2000-05-25,2.82,0.134670821199532,0.96
2000-05-26,0.2,0.118575748688048,1.12
2000-05-27,6.48,0.228831600775073,1.12
2000-05-28,2.16,0.237814493082948,0.48
2000-05-29,4.5,0.29797222053547,0.48
2000-05-30,7.88,0.435116807476943,1.44
2000-05-31,4.58,0.478664411315092,0.8
2000-06-01,0.03,0.40136623934631,1.6
2000-06-02,0.3,0.344040276317113,2.08
2000-06-03,0,0.288975757643863,1.12
2000-06-04,0.02,0.243800793319308,1.44
2000-06-05,2.26,0.261007264657717,1.28
2000-06-06,1.86,0.266140917713913,1.44
2000-06-07,0,0.224468499650136,1.44
2000-06-08,0.02,0.190395499216976,0.8
2000-06-09,0,0.161651469417119,0.96
2000-06-10,0,0.137811682498695,0.8
2000-06-11,0,0.11803822231719,1.12
2000-06-12,0.14,0.104921932784937,1.92
2000-06-13,0,0.0907577462976908,0.8
2000-06-14,0.02,0.0794637628809541,0.8
2000-06-15,0.11,0.072130962891412,0.96
2000-06-16,0.05,0.0646759215683763,1.12
2000-06-17,0,0.0573651118835273,1.12
2000-06-18,0.02,0.051735784794171,1.76
2000-06-19,6.61,0.195725719426786,0.64
2000-06-20,0.68,0.182152218538918,0.64
2000-06-21,4.21,0.256352622743821,0.8
2000-06-22,11.82,0.527002340857725,3.04
2000-06-23,6.26,0.61749770261529,2.08
2000-06-24,0,0.516495430938012,0.32
2000-06-25,0.03,0.433596210409478,0.8
2000-06-26,0.16,0.368529393287649,0.64
2000-06-27,0.03,0.31089218446724,0.64
2000-06-28,2.78,0.341300071626428,0.48
2000-06-29,2.1,0.348462587611313,1.6
2000-06-30,6.76,0.495473372705623,1.6
