"f","e","d","tau_q","tau_s","v_s"
-0.134607835988731,-0.0029526603384511,0.0248906950606198,-0.0255987064878838,-0.101811009622921,-0.216419193677098
-0.0029526603384511,-0.000115130127653629,-0.000120270460257643,-0.000855582271697131,-0.00134289246389585,-0.0069725891727046
0.0248906950606198,-0.000120270460257643,-0.0525532617423607,-0.014416484672708,-0.0494435159481554,-0.111487247211883
-0.0255987064878838,-0.000855582271697131,-0.014416484672708,-0.0153927426360667,-0.000780936426636458,-0.0901800356611915
-0.101811009622921,-0.00134289246389585,-0.0494435159481554,-0.000780936426636458,-0.0264135158190015,0.0170931879761582
-0.216419193677098,-0.0069725891727046,-0.111487247211883,-0.0901800356611915,0.0170931879761582,0.0153152379667176
-0.126759169827295,0.00162476143650281,0.330157967631806,-0.0912690090171253,-0.0900268526393688,-0.28735681611991
0.00162476143650281,-6.58362253602718e-06,-0.0227876995051446,-0.00254345988714988,-0.00140684686122938,-0.00814131539961238
0.330157967631806,-0.0227876995051446,-0.275784106662513,-0.0864876559258931,-0.0749561246404795,-0.237342989706235
-0.0912690090171253,-0.00254345988714988,-0.0864876559258931,-0.0739129313309661,-0.00926219101415882,-0.187056486966597
-0.0900268526393688,-0.00140684686122938,-0.0749561246404795,-0.00926219101415882,-0.0497120900000425,0.0249815390596098
-0.28735681611991,-0.00814131539961238,-0.237342989706235,-0.187056486966597,0.0249815390596098,0.0239199660079237
-0.273238087711292,-0.00252720622206937,0.205995226432165,-0.0436332192599309,-0.369575758885077,-0.27058362772614
-0.00252720622206937,-5.54778445405191e-05,0.00142505451883324,-0.00105042641251885,-0.00352569640149625,-0.00668162192241084
0.205995226432165,0.00142505451883324,-0.0802446331604756,-0.024330976122755,-0.155168816684537,-0.143134859520444
-0.0436332192599309,-0.00105042641251885,-0.024330976122755,-0.0232989294524089,-0.00772841235452404,-0.131084798571379
-0.369575758885077,-0.00352569640149625,-0.155168816684537,-0.00772841235452404,-0.506707675818063,0.139021549827589
-0.27058362772614,-0.00668162192241084,-0.143134859520444,-0.131084798571379,0.139021549827589,0.017554124820407
