"f","e","d","tau_q","tau_s","v_s","ls_jh$u0"
1.2325736,1.0028922,464.245,5.198222,537.8289,0.9265021,1.54241996918599
0.9757663,1.0092582,213.2561,5.235984,630.0755,0.8251355,1.25331886191946
1.014213,0.992196,339.82,6.083786,201.8326,0.9177878,1.36800139539038
0.9984326,1.0061729,263.1501,3.916359,908.6047,0.9313204,1.42616633699198
1.2802285,0.9987118,497.9574,5.563948,392.3655,0.9112066,1.54917011571593
1.0042513,1.0060833,512.6612,7.376525,500.4011,0.980062,1.52672969756078
1.3983206,1.0072329,407.78,3.813562,571.362,0.9440416,1.56658160459763
0.6279271,0.9986758,363.786,3.630802,563.9668,0.8079584,1.07471648296008
1.1446431,1.002805,232.3038,5.879391,544.7557,0.7945207,1.29669353943078
1.0695171,1.0085967,422.3224,3.418016,439.4246,0.749771,1.33089334125608
0.9353295,1.0071397,364.3469,9.01387,324.02,0.9946653,1.44758188549484
1.452236,0.992728,524.2584,3.373043,314.5402,0.9674065,1.60454721680929
1.1543267,1.0047015,236.2779,8.234393,227.5276,0.7801739,1.27825374745301
0.5239309,1.0061459,494.5929,3.390286,434.1237,0.8044341,1.01939809827016
0.9681293,0.9940577,526.6177,9.088049,912.2728,0.9033026,1.49609001560394
1.3572717,0.9924048,522.2754,3.802143,594.4939,0.8639657,1.54996283012673
0.8650873,0.994888,421.0758,8.098103,293.3343,0.9138644,1.36181357904869
0.8656018,1.004314,271.1397,6.447027,564.9106,0.753468,1.17952958916581
1.2586559,0.9996428,511.3193,9.571399,841.3799,0.9836506,1.60024231751131
0.6076578,0.9933252,431.3598,3.427237,931.181,0.7353223,1.00386249383647
0.8461953,1.0044778,240.4282,7.271125,901.1366,0.8224164,1.26988191351223
1.3145924,1.0033097,315.0004,9.493355,668.3294,0.7255902,1.42138196138772
0.5397171,1.0047715,316.4405,9.801633,567.7154,0.8674999,1.19819742936089
1.2152739,1.0010669,382.53,6.6893,867.302,0.9211639,1.52871123508136
0.8369234,1.0036829,332.1258,6.227026,902.4578,0.7888829,1.26121580094822
1.4183186,1.0043444,274.1428,9.161306,445.5996,0.7606517,1.42144530868445
1.2777818,1.008301,209.9844,6.232162,392.1721,0.7013326,1.23792399643948
0.6992162,1.0079828,396.7506,9.534463,861.2599,0.9591946,1.3972490502349
1.3567535,0.9925125,355.5832,4.341574,704.3915,0.72936,1.40744630738583
