"Index","P","Q","E"
1980-04-10,0,0.16768375246118,2.56
1980-04-11,0,0.16628732299569,3.2
1980-04-12,0,0.164902522654808,1.92
1980-04-13,0,0.163529254594015,3.2
1980-04-14,0,0.162167422775291,6.4
1980-04-15,0,0.160816931960395,3.2
1980-04-16,0,0.15947768770421,2.72
1980-04-17,5.76,0.158149596348132,3.36
1980-04-18,3.62,0.156832565013525,0.64
1980-04-19,0,0.155526501595222,2.4
1980-04-20,0.05,0.154231314755087,1.28
1980-04-21,0,0.152946913915625,2.4
1980-04-22,0,0.151673209253648,1.92
1980-04-23,0,0.150410111693994,3.68
1980-04-24,5.61,0.149157532903299,3.52
1980-04-25,0.05,0.147915385283813,4.32
1980-04-26,0,0.146683581967285,1.92
1980-04-27,0,0.145462036808876,3.2
1980-04-28,0.09,0.144250664381144,3.2
1980-04-29,0,0.143049379968064,3.2
1980-04-30,0,0.141858099559106,1.28
1980-05-01,0,0.14067673984336,3.52
1980-05-02,0,0.139505218203708,1.6
1980-05-03,0.11,0.138343452711047,3.2
1980-05-04,0.08,0.137191362118561,3.2
1980-05-05,0.05,0.136048865856035,1.6
1980-05-06,0,0.134915884024227,1.6
1980-05-07,0,0.133792337389274,1.28
1980-05-08,0,0.132678147377153,1.6
1980-05-09,0.8,0.131573236068188,3.2
1980-05-10,15.1,0.130477526191597,1.76
1980-05-11,24.98,0.129390941120093,3.04
1980-05-12,16.53,0.128313404864519,5.12
1980-05-13,0,0.12724484206854,1.6
1980-05-14,0,0.126185178003368,1.12
1980-05-15,0,0.125134338562542,0.8
1980-05-16,0,0.124092250256736,1.44
1980-05-17,0,0.12305884020863,3.68
1980-05-18,0.43,0.122034036147807,2.56
1980-05-19,0.43,0.121017766405698,2.72
1980-05-20,0,0.120009959910577,2.56
1980-05-21,0.64,0.119010546182582,2.24
1980-05-22,0.17,0.118019455328792,1.6
1980-05-23,0.26,0.117036618038337,3.2
1980-05-24,0.08,0.116061965577552,0.96
1980-05-25,0,0.115095429785166,1.44
1980-05-26,0,0.114136943067543,1.12
1980-05-27,0,0.113186438393947,0.48
1980-05-28,29.05,0.112243849291858,1.76
1980-05-29,1.97,0.111309109842325,0.96
1980-05-30,0.52,0.110382154675352,1.76
1980-05-31,0,0.10946291896533,1.44
1980-06-01,0,0.108551338426499,0.48
1980-06-02,0,0.107647349308458,1.6
1980-06-03,0,0.106750888391703,2.4
1980-06-04,0,0.105861892983207,1.76
1980-06-05,0,0.104980300912034,1.28
1980-06-06,0.43,0.104106050524993,1.12
1980-06-07,0.86,0.103239080682327,0.64
1980-06-08,0,0.102379330753435,0.96
1980-06-09,0,0.101526740612632,1.6
1980-06-10,7.44,0.100681250634946,0.8
1980-06-11,0.9,0.0998428016919477,1.76
1980-06-12,0.09,0.0990113351476144,1.92
1980-06-13,0.6,0.0981867928542299,0.64
1980-06-14,0,0.0973691171483182,0.8
1980-06-15,0,0.0965582508466104,0.8
1980-06-16,14.82,0.0957541372420463,1.44
1980-06-17,3.12,0.094956720099808,1.6
1980-06-18,2.92,0.0941659436533877,1.12
1980-06-19,0.43,0.0933817526006873,1.44
1980-06-20,0,0.0926040921001513,1.6
1980-06-21,0.34,0.0918329077669312,2.08
1980-06-22,0.34,0.0910681456690823,0.48
1980-06-23,0.43,0.090309752323792,0.64
1980-06-24,0,0.0895576746936396,1.44
1980-06-25,0,0.0888118601828871,1.12
1980-06-26,0,0.0880722566338009,0.64
1980-06-27,0,0.0873388123230045,0.64
1980-06-28,29.61,0.0866114759578608,4.8
1980-06-29,15.69,0.0858901966728857,2.88
1980-06-30,12.99,0.08517492402619,1.28
1980-07-01,0.48,0.0844656079959527,1.6
1980-07-02,0.1,0.0837621989769221,2.08
1980-07-03,1.43,0.0830646477769469,0.48
1980-07-04,3.84,0.0823729056135364,3.2
1980-07-05,7.54,0.0816869241104482,1.28
1980-07-06,0,0.0810066552943058,1.28
1980-07-07,0.08,0.080332051591243,1.6
1980-07-08,2.53,0.0796630658235774,2.24
1980-07-09,0.48,0.0789996512065108,1.28
